numbers, Iterative on Python, Recursive on Python, Iterative on C, Recursive on C
1, 1.094886, 0.450226, 0.010000, 0.016000
2, 1.246239, 0.891142, 0.021000, 0.027000
3, 1.381572, 1.306022, 0.029000, 0.026000
4, 1.497629, 1.756893, 0.038000, 0.030000
5, 1.669383, 2.383522, 0.043000, 0.037000
6, 1.925858, 2.806449, 0.057000, 0.041000
7, 2.156076, 3.357973, 0.058000, 0.044000
8, 2.392013, 3.839674, 0.135000, 0.057000
9, 2.647846, 4.489559, 0.135000, 0.061000
10, 2.828539, 4.869723, 0.141000, 0.065000
11, 3.012260, 5.370671, 0.151000, 0.070000
12, 3.194416, 5.831962, 0.160000, 0.150000
13, 3.808122, 6.364154, 0.167000, 0.175000
14, 4.175867, 6.954058, 0.202000, 0.186000
15, 4.456294, 7.467163, 0.277000, 0.213000
16, 4.792520, 8.123047, 0.207000, 0.223000
17, 5.124265, 8.759927, 0.231000, 0.248000
18, 5.648214, 9.432668, 0.254000, 0.284000
19, 5.847206, 10.133499, 0.238000, 0.279000
20, 6.181593, 10.775730, 0.246000, 0.296000
