Number,Iterative on Python,Recursive on Python,Iterative on C,Recursive on C,Iterative Diff (C - Python),Recursive Diff (C - Python),C Faster Iterative (times),C Faster Recursive (times)
1,1.094886,0.450226,0.01,0.016,-1.084886,-0.434226,109.4886,28.139125
2,1.246239,0.891142,0.021,0.027,-1.2252390000000002,-0.864142,59.34471428571429,33.00525925925926
3,1.381572,1.306022,0.029,0.026,-1.352572,-1.280022,47.64041379310345,50.23161538461539
4,1.497629,1.756893,0.038,0.03,-1.459629,-1.726893,39.411289473684214,58.563100000000006
5,1.669383,2.383522,0.043,0.037,-1.6263830000000001,-2.346522,38.822860465116285,64.41951351351352
6,1.925858,2.806449,0.057,0.041,-1.8688580000000001,-2.7654490000000003,33.78698245614035,68.4499756097561
7,2.156076,3.357973,0.058,0.044,-2.0980760000000003,-3.313973,37.17372413793103,76.31756818181819
8,2.392013,3.839674,0.135,0.057,-2.2570129999999997,-3.782674,17.718614814814813,67.36270175438597
9,2.647846,4.489559,0.135,0.061,-2.5128459999999997,-4.428559,19.613674074074073,73.59932786885246
10,2.828539,4.869723,0.141,0.065,-2.687539,-4.804722999999999,20.060560283687945,74.91881538461537
11,3.01226,5.370671,0.151,0.07,-2.86126,-5.3006709999999995,19.948741721854304,76.72387142857141
12,3.194416,5.831962,0.16,0.15,-3.034416,-5.6819619999999995,19.9651,38.87974666666667
13,3.808122,6.364154,0.167,0.175,-3.641122,-6.189154,22.803125748502993,36.366594285714285
14,4.175867,6.954058,0.202,0.186,-3.9738670000000003,-6.768058,20.67260891089109,37.387408602150536
15,4.456294,7.467163,0.277,0.213,-4.179294,-7.254163,16.087703971119133,35.05710328638498
16,4.79252,8.123047,0.207,0.223,-4.58552,-7.900047,23.152270531400966,36.4262197309417
17,5.124265,8.759927,0.231,0.248,-4.893265,-8.511927,22.18296536796537,35.32228629032258
18,5.648214,9.432668,0.254,0.284,-5.394214,-9.148667999999999,22.237062992125985,33.21361971830986
19,5.847206,10.133499,0.238,0.279,-5.609206,-9.854499,24.56809243697479,36.32078494623656
20,6.181593,10.77573,0.246,0.296,-5.935593000000001,-10.47973,25.128426829268296,36.404493243243245
