Numero	Py Iter	Py Recur	C Iter	C Recur
1	0,9898568	0,3864686	0,01	0,02
2	1,1053435	0,7723723	0,02	0,02
3	1,2285093	1,2251873	0,03	0,02
4	1,3651953	1,5356294	0,04	0,03
5	1,4591813	2,1187102	0,04	0,03
6	1,6891122	2,4776359	0,05	0,04
7	1,8804692	2,9543935	0,06	0,04
8	2,0876077	3,4620215	0,11	0,05
9	2,2843191	3,9088238	0,12	0,05
10	2,4716388	4,3548276	0,13	0,05
11	2,67	4,7819583	0,14	0,06
12	2,8438373	5,2340861	0,15	0,14
13	3,4100943	5,714974	0,16	0,16
14	3,7448993	6,2712106	0,17	0,17
15	3,9890079	6,767667	0,24	0,19
16	4,27	7,3194301	0,19	0,20
17	4,5379343	7,868381	0,20	0,22
18	5,0056343	8,50	0,21	0,25
19	5,31	9,1639944	0,33	0,26
20	5,4620464	10,0550154	0,24	0,28
